t level outflow out_valve setpoint in_valve error
56.2638 0.499 0.409 0.582 0.5 0.6 0.001
56.3827 0.499 0.41 0.5816 0.5 0.6 0.001
56.5003 0.499 0.411 0.5813 0.5 0.6 0.001
56.6038 0.499 0.411 0.5808 0.5 0.6 0.001
56.7268 0.499 0.41 0.5804 0.5 0.6 0.001
56.8313 0.499 0.41 0.5801 0.5 0.6 0.001
56.9389 0.499 0.409 0.5797 0.5 0.6 0.001
57.0563 0.499 0.409 0.5793 0.5 0.6 0.001
57.1629 0.499 0.409 0.5789 0.5 0.6 0.001
57.5332 0.499 0.408 0.5777 0.5 0.6 0.001
57.6373 0.499 0.408 0.5773 0.5 0.6 0.001
57.7408 0.499 0.408 0.5769 0.5 0.6 0.001
57.8438 0.5 0.408 0.5896 0.5 0.6 0
57.9498 0.5 0.407 0.5896 0.5 0.6 0
58.053 0.5 0.409 0.5896 0.5 0.6 0
58.1548 0.5 0.413 0.5896 0.5 0.6 0
58.2923 0.5 0.416 0.5896 0.5 0.6 0
58.3958 0.5 0.416 0.5896 0.5 0.6 0
58.5103 0.5 0.416 0.5896 0.5 0.6 0
58.6459 0.5 0.416 0.5896 0.5 0.6 0
58.7494 0.5 0.416 0.5896 0.5 0.6 0
58.8508 0.5 0.416 0.5896 0.5 0.6 0
58.9633 0.5 0.416 0.5896 0.5 0.6 0
59.0743 0.5 0.416 0.5896 0.5 0.6 0
59.1782 0.5 0.416 0.5896 0.5 0.6 0
59.287 0.5 0.416 0.5896 0.5 0.6 0
59.4113 0.5 0.416 0.5896 0.5 0.6 0
59.5154 0.5 0.416 0.5896 0.5 0.6 0
59.6239 0.5 0.416 0.5896 0.5 0.6 0
59.7259 0.5 0.416 0.5896 0.5 0.6 0
59.8293 0.5 0.416 0.5896 0.5 0.6 0
59.9586 0.5 0.416 0.5896 0.5 0.6 0
60.0976 0.5 0.416 0.5896 0.5 0.6 0
60.2046 0.5 0.416 0.5896 0.5 0.6 0
60.3089 0.5 0.416 0.5896 0.5 0.6 0
60.4123 0.5 0.416 0.5896 0.5 0.6 0
60.5169 0.5 0.416 0.5896 0.5 0.6 0
60.6208 0.5 0.416 0.5896 0.5 0.6 0
60.7319 0.5 0.416 0.5896 0.5 0.6 0
60.868 0.5 0.416 0.5896 0.5 0.6 0
61.0254 0.5 0.416 0.5896 0.5 0.6 0
61.1328 0.5 0.416 0.5896 0.5 0.6 0
61.2403 0.5 0.416 0.5896 0.5 0.6 0
61.3639 0.5 0.416 0.5896 0.5 0.6 0
61.4714 0.5 0.416 0.5896 0.5 0.6 0
61.5758 0.5 0.416 0.5896 0.5 0.6 0
61.6794 0.5 0.416 0.5896 0.5 0.6 0
61.7864 0.501 0.416 0.6026 0.5 0.6 -0.001
61.8913 0.501 0.416 0.6029 0.5 0.6 -0.001
61.9933 0.501 0.42 0.6033 0.5 0.6 -0.001
62.0988 0.501 0.424 0.6037 0.5 0.6 -0.001
62.2018 0.501 0.425 0.604 0.5 0.6 -0.001
62.3051 0.501 0.426 0.6044 0.5 0.6 -0.001
62.4074 0.501 0.426 0.6047 0.5 0.6 -0.001
62.5104 0.501 0.427 0.6051 0.5 0.6 -0.001
62.6155 0.5 0.427 0.5924 0.5 0.6 0
62.7239 0.5 0.427 0.5924 0.5 0.6 0
62.8265 0.501 0.424 0.6055 0.5 0.6 -0.001
62.9305 0.5 0.42 0.5928 0.5 0.6 0
63.0425 0.5 0.421 0.5928 0.5 0.6 0
63.1453 0.5 0.422 0.5928 0.5 0.6 0
63.2484 0.5 0.42 0.5928 0.5 0.6 0
63.351 0.5 0.419 0.5928 0.5 0.6 0
63.4604 0.501 0.419 0.6058 0.5 0.6 -0.001
63.5609 0.501 0.419 0.6062 0.5 0.6 -0.001
63.6664 0.5 0.419 0.5935 0.5 0.6 0
63.789 0.501 0.426 0.6065 0.5 0.6 -0.001
63.8965 0.501 0.424 0.607 0.5 0.6 -0.001
64.0014 0.501 0.423 0.6073 0.5 0.6 -0.001
64.1068 0.501 0.427 0.6077 0.5 0.6 -0.001
64.2099 0.501 0.428 0.6081 0.5 0.6 -0.001
64.3124 0.5 0.429 0.5954 0.5 0.6 0
64.4164 0.5 0.429 0.5954 0.5 0.6 0
64.5225 0.501 0.426 0.6084 0.5 0.6 -0.001
64.6246 0.5 0.422 0.5958 0.5 0.6 0
64.7344 0.5 0.423 0.5958 0.5 0.6 0
64.8359 0.5 0.424 0.5958 0.5 0.6 0
64.9397 0.5 0.422 0.5958 0.5 0.6 0
65.0505 0.5 0.421 0.5958 0.5 0.6 0
65.1569 0.5 0.421 0.5958 0.5 0.6 0
65.2599 0.501 0.421 0.6088 0.5 0.6 -0.001
65.365 0.5 0.421 0.5961 0.5 0.6 0
65.4705 0.5 0.424 0.5961 0.5 0.6 0
65.5729 0.501 0.425 0.6092 0.5 0.6 -0.001
65.6733 0.501 0.423 0.6095 0.5 0.6 -0.001
65.777 0.5 0.425 0.5969 0.5 0.6 0
65.8788 0.501 0.429 0.6099 0.5 0.6 -0.001
65.9872 0.501 0.428 0.6102 0.5 0.6 -0.001
66.1018 0.5 0.426 0.5976 0.5 0.6 0
66.2049 0.5 0.429 0.5976 0.5 0.6 0
66.3075 0.501 0.428 0.6106 0.5 0.6 -0.001
66.4095 0.5 0.424 0.5979 0.5 0.6 0
66.513 0.5 0.426 0.5979 0.5 0.6 0
66.615 0.501 0.428 0.6109 0.5 0.6 -0.001
66.7234 0.5 0.424 0.5983 0.5 0.6 0
66.8264 0.5 0.426 0.5983 0.5 0.6 0
66.9326 0.501 0.426 0.6113 0.5 0.6 -0.001
67.0354 0.5 0.424 0.5986 0.5 0.6 0
67.1444 0.5 0.427 0.5986 0.5 0.6 0
67.2536 0.5 0.427 0.5986 0.5 0.6 0
67.3808 0.5 0.424 0.5986 0.5 0.6 0
67.488 0.5 0.423 0.5986 0.5 0.6 0
67.5934 0.5 0.423 0.5986 0.5 0.6 0
67.706 0.5 0.423 0.5986 0.5 0.6 0
67.8175 0.5 0.423 0.5986 0.5 0.6 0
67.923 0.5 0.423 0.5986 0.5 0.6 0
68.0285 0.5 0.423 0.5986 0.5 0.6 0
68.1324 0.5 0.423 0.5986 0.5 0.6 0
68.2347 0.5 0.423 0.5986 0.5 0.6 0
68.3504 0.5 0.423 0.5986 0.5 0.6 0
68.4601 0.5 0.423 0.5986 0.5 0.6 0
68.5615 0.5 0.423 0.5986 0.5 0.6 0
68.695 0.5 0.423 0.5986 0.5 0.6 0
68.7994 0.5 0.423 0.5986 0.5 0.6 0
68.9064 0.5 0.423 0.5986 0.5 0.6 0
69.0295 0.5 0.423 0.5986 0.5 0.6 0
69.137 0.5 0.423 0.5986 0.5 0.6 0
69.2412 0.5 0.423 0.5986 0.5 0.6 0
69.3451 0.5 0.423 0.5986 0.5 0.6 0
69.4699 0.5 0.423 0.5986 0.5 0.6 0
69.5751 0.5 0.423 0.5986 0.5 0.6 0
69.6965 0.5 0.423 0.5986 0.5 0.6 0
69.8281 0.5 0.423 0.5986 0.5 0.6 0
69.9335 0.5 0.423 0.5986 0.5 0.6 0
70.045 0.5 0.423 0.5986 0.5 0.6 0
70.1869 0.5 0.423 0.5986 0.5 0.6 0
70.2955 0.5 0.423 0.5986 0.5 0.6 0
70.3985 0.5 0.423 0.5986 0.5 0.6 0
70.5035 0.5 0.423 0.5986 0.5 0.6 0
70.6054 0.5 0.423 0.5986 0.5 0.6 0
70.7225 0.5 0.423 0.5986 0.5 0.6 0
70.8631 0.5 0.423 0.5986 0.5 0.6 0
70.9683 0.5 0.423 0.5986 0.5 0.6 0
71.109 0.5 0.423 0.5986 0.5 0.6 0
71.2105 0.5 0.423 0.5986 0.5 0.6 0
71.3135 0.5 0.423 0.5986 0.5 0.6 0
71.419 0.5 0.423 0.5986 0.5 0.6 0
71.5217 0.5 0.423 0.5986 0.5 0.6 0
71.6262 0.5 0.423 0.5986 0.5 0.6 0
71.7321 0.5 0.423 0.5986 0.5 0.6 0
71.8387 0.5 0.423 0.5986 0.5 0.6 0
71.942 0.5 0.423 0.5986 0.5 0.6 0
72.0455 0.5 0.423 0.5986 0.5 0.6 0
72.1526 0.5 0.423 0.5986 0.5 0.6 0
72.2756 0.5 0.423 0.5986 0.5 0.6 0
72.391 0.5 0.423 0.5986 0.5 0.6 0
72.5051 0.5 0.423 0.5986 0.5 0.6 0
72.607 0.5 0.423 0.5986 0.5 0.6 0
72.7211 0.5 0.423 0.5986 0.5 0.6 0
72.8285 0.5 0.423 0.5986 0.5 0.6 0
72.951 0.5 0.423 0.5986 0.5 0.6 0
73.059 0.5 0.423 0.5986 0.5 0.6 0
73.1636 0.5 0.423 0.5986 0.5 0.6 0
73.2733 0.5 0.423 0.5986 0.5 0.6 0
73.3845 0.5 0.423 0.5986 0.5 0.6 0
73.497 0.5 0.423 0.5986 0.5 0.6 0
73.598 0.5 0.423 0.5986 0.5 0.6 0
73.7102 0.5 0.423 0.5986 0.5 0.6 0
73.8281 0.5 0.423 0.5986 0.5 0.6 0
73.9305 0.5 0.423 0.5986 0.5 0.6 0
74.052 0.5 0.423 0.5986 0.5 0.6 0
74.1558 0.5 0.423 0.5986 0.5 0.6 0
74.2621 0.5 0.423 0.5986 0.5 0.6 0
74.3715 0.5 0.423 0.5986 0.5 0.6 0
74.479 0.5 0.423 0.5986 0.5 0.6 0
74.597 0.5 0.423 0.5986 0.5 0.6 0
