t level outflow out_valve setpoint in_valve error
14.1281 0.188 0 0 0.5 0.6 0.312
14.2296 0.19 0 0 0.5 0.6 0.31
14.3377 0.191 0 0 0.5 0.6 0.309
14.4507 0.193 0 0 0.5 0.6 0.307
14.5734 0.195 0 0 0.5 0.6 0.305
14.7026 0.197 0 0 0.5 0.6 0.303
14.8121 0.199 0 0 0.5 0.6 0.301
14.9177 0.2 0 0 0.5 0.6 0.3
15.0231 0.202 0 0 0.5 0.6 0.298
15.1281 0.203 0 0 0.5 0.6 0.297
15.2353 0.205 0 0 0.5 0.6 0.295
15.3488 0.207 0 0 0.5 0.6 0.293
15.4522 0.208 0 0 0.5 0.6 0.292
15.5622 0.21 0 0 0.5 0.6 0.29
15.6646 0.211 0 0 0.5 0.6 0.289
15.7676 0.212 0 0 0.5 0.6 0.288
15.8728 0.214 0 0 0.5 0.6 0.286
15.9861 0.216 0 0 0.5 0.6 0.284
16.0916 0.218 0 0 0.5 0.6 0.282
16.1996 0.219 0 0 0.5 0.6 0.281
16.3101 0.221 0 0 0.5 0.6 0.279
16.4136 0.222 0 0 0.5 0.6 0.278
16.5283 0.224 0 0 0.5 0.6 0.276
16.6327 0.225 0 0 0.5 0.6 0.275
16.7347 0.227 0 0 0.5 0.6 0.273
16.8442 0.229 0 0 0.5 0.6 0.271
16.9562 0.23 0 0 0.5 0.6 0.27
17.0618 0.232 0 0 0.5 0.6 0.268
17.1638 0.234 0 0 0.5 0.6 0.266
17.2746 0.235 0 0 0.5 0.6 0.265
17.3863 0.237 0 0 0.5 0.6 0.263
17.4932 0.238 0 0 0.5 0.6 0.262
17.5957 0.24 0 0 0.5 0.6 0.26
17.7007 0.242 0 0 0.5 0.6 0.258
17.8043 0.243 0 0 0.5 0.6 0.257
17.9315 0.244 0 0 0.5 0.6 0.256
18.0496 0.247 0 0 0.5 0.6 0.253
18.1507 0.248 0 0 0.5 0.6 0.252
18.2557 0.249 0 0 0.5 0.6 0.251
18.3591 0.251 0 0 0.5 0.6 0.249
18.4821 0.253 0 0 0.5 0.6 0.247
18.597 0.254 0 0 0.5 0.6 0.246
18.706 0.256 0 0 0.5 0.6 0.244
18.8197 0.258 0 0 0.5 0.6 0.242
18.9327 0.26 0 0 0.5 0.6 0.24
19.0427 0.261 0 0 0.5 0.6 0.239
19.1501 0.263 0 0 0.5 0.6 0.237
19.2756 0.264 0 0 0.5 0.6 0.236
19.3842 0.266 0 0 0.5 0.6 0.234
19.4947 0.268 0 0 0.5 0.6 0.232
19.614 0.27 0 0 0.5 0.6 0.23
19.7227 0.271 0 0 0.5 0.6 0.229
19.8527 0.273 0 0 0.5 0.6 0.227
19.961 0.275 0 0 0.5 0.6 0.225
